"CodeSoc","DateDebSoc","CodeG","CodeAGDep","DateFinSoc","DateResaSoc","CodeAgRet"
"86833018343743","2025-04-24","2","18","2025-04-30","2025-03-17","88"
"31935952274312","2023-03-22","2","23","2023-04-01","2023-03-20","92"
"31935952274312","2022-08-06","8","111","2022-08-13","2022-07-12","30"
"56301570407756","2024-05-04","2","88","2024-05-07","2024-04-02","123"
"57198241195598","2023-04-06","8","129","2023-04-14","2023-04-05","121"
"27276983771370","2022-10-27","8","4","2022-11-10","2022-09-30","135"
"26060670202394","2022-05-07","8","60","2022-05-12","2022-04-26","57"
"62432903831124","2022-06-20","3","71","2022-07-01","2022-06-03","147"
"62432903831124","2022-03-07","2","86","2022-03-21","2022-03-03","114"
"66067774000364","2021-09-05","8","58","2021-09-10","2021-08-30","29"
"35104074927247","2021-12-06","3","135","2021-12-18","2021-10-31","15"
"70723576553460","2021-12-08","3","33","2021-12-13","2021-10-29","107"
"16675263696923","2020-11-22","8","98","2020-12-02","2020-10-27","103"
"91353961217109","2025-02-14","8","14","2025-02-20","2025-01-14","56"
"27276983771370","2022-09-16","2","97","2022-09-25","2022-09-04","147"
"52721301541202","2021-04-03","3","50","2021-04-09","2021-03-21","133"
"55684391399192","2022-10-04","2","143","2022-10-14","2022-09-08","48"
"21806475533626","2022-09-17","8","143","2022-09-20","2022-09-05","35"
"86833018343743","2022-03-20","8","5","2022-03-22","2022-02-12","133"
"66067774000364","2022-12-02","8","108","2022-12-13","2022-11-16","75"
"22158649305494","2021-03-23","8","127","2021-04-01","2021-03-04","32"
"31935952274312","2025-06-19","8","38","2025-07-02","2025-05-10","48"
"17714329814317","2024-03-24","2","39","2024-04-01","2024-03-06","95"
"60918513369771","2024-05-05","8","35","2024-05-10","2024-04-21","118"
"57198241195598","2022-10-18","2","21","2022-10-19","2022-10-16","142"
"35104074927247","2024-09-02","2","122","2024-09-12","2024-07-28","63"
"21806475533626","2024-05-17","3","20","2024-05-29","2024-05-14","7"
"63323967074368","2021-09-09","2","100","2021-09-17","2021-08-14","125"
"57198241195598","2023-10-19","2","16","2023-10-24","2023-09-28","11"
"16675263696923","2021-06-14","8","47","2021-06-24","2021-05-16","33"
"91353961217109","2024-10-03","3","112","2024-10-13","2024-09-23","37"
"56301570407756","2021-12-15","3","29","2021-12-24","2021-11-26","44"
"16675263696923","2022-01-25","3","123","2022-01-27","2022-01-05","4"
"93575605313660","2023-12-01","3","78","2023-12-11","2023-11-24","73"
"52721301541202","2025-07-19","3","39","2025-07-27","2025-06-27","147"
"22158649305494","2022-05-18","8","91","2022-05-24","2022-04-20","14"
"31935952274312","2023-11-21","8","46","2023-11-23","2023-10-26","88"
"74570847696182","2024-10-07","8","72","2024-10-13","2024-09-09","14"
"74570847696182","2021-07-31","3","138","2021-08-11","2021-06-28","36"
"27276983771370","2024-06-19","3","17","2024-06-20","2024-06-14","129"
"55684391399192","2022-03-24","3","124","2022-03-26","2022-02-14","18"
"15075790748492","2025-09-15","2","125","2025-09-22","2025-08-26","100"
"74570847696182","2024-01-06","2","46","2024-01-20","2023-12-02","9"
"74570847696182","2023-11-07","2","51","2023-11-15","2023-10-21","134"
"62432903831124","2022-01-22","8","6","2022-02-03","2022-01-12","94"
"10160678844935","2025-05-23","8","38","2025-06-01","2025-05-02","26"
"26060670202394","2023-09-18","2","8","2023-09-30","2023-08-11","44"
"23412772661527","2022-03-08","3","117","2022-03-22","2022-03-03","89"
"60362039920918","2024-10-23","3","146","2024-10-28","2024-10-22","27"
"91353961217109","2021-08-02","3","130","2021-08-14","2021-07-13","23"
"16675263696923","2023-02-14","8","20","2023-02-24","2022-12-31","134"
"15075790748492","2025-05-21","8","55","2025-05-22","2025-05-20","70"
"29378224529391","2021-02-22","8","17","2021-03-08","2021-01-17","38"
"26060670202394","2021-08-22","2","25","2021-08-24","2021-08-01","85"
"90444751464970","2024-10-05","3","102","2024-10-14","2024-09-17","133"
"52809577153890","2024-06-21","2","126","2024-06-23","2024-06-17","85"
"60918513369771","2025-10-15","2","31","2025-10-29","2025-09-02","27"
"89557732603090","2024-09-26","3","17","2024-09-27","2024-09-13","110"
"17714329814317","2024-09-04","8","135","2024-09-18","2024-08-25","123"
"15075790748492","2023-12-07","2","141","2023-12-14","2023-11-22","119"
"72777356436755","2025-10-18","3","85","2025-10-20","2025-09-12","67"
"35104074927247","2025-08-28","2","5","2025-09-08","2025-07-19","118"
"74570847696182","2022-05-09","2","18","2022-05-11","2022-05-06","23"
"72777356436755","2022-06-03","2","138","2022-06-16","2022-05-06","137"
"10112206654382","2024-04-24","3","6","2024-05-07","2024-04-01","118"
"16675263696923","2025-01-28","3","36","2025-01-30","2025-01-01","104"
"74570847696182","2025-07-10","3","51","2025-07-23","2025-05-28","126"
"17714329814317","2022-02-14","3","87","2022-02-24","2022-02-01","118"
"29378224529391","2023-07-27","2","36","2023-07-29","2023-07-25","19"
"52721301541202","2022-12-30","3","51","2023-01-13","2022-12-18","53"
"72777356436755","2025-10-29","2","38","2025-11-06","2025-10-25","18"
"10112206654382","2023-09-11","3","113","2023-09-17","2023-08-11","80"
"52809577153890","2024-08-19","8","124","2024-08-21","2024-08-16","61"
"52721301541202","2020-12-12","2","48","2020-12-22","2020-10-30","11"
"31935952274312","2021-07-10","8","65","2021-07-14","2021-06-14","99"
"94904108537244","2022-10-03","3","40","2022-10-09","2022-09-23","25"
"72777356436755","2025-04-11","2","106","2025-04-12","2025-03-02","141"
"31935952274312","2021-05-21","2","65","2021-06-03","2021-04-16","112"
"60918513369771","2023-12-08","3","55","2023-12-21","2023-11-05","100"
"16675263696923","2024-10-06","3","97","2024-10-10","2024-09-15","108"
"21806475533626","2024-04-25","2","115","2024-05-01","2024-04-03","80"
"55684391399192","2023-03-22","3","92","2023-03-27","2023-02-10","96"
"56301570407756","2023-09-28","8","49","2023-10-10","2023-09-26","47"
