CodeC,NoImmat,DateDebLoc,CodeAGDep,DateFinLoc,KmDeb,KmFin,CodeAgRet
96,AA-001-DT,2025-09-18,88,2025-09-20,151322,151579,88
107,AA-001-AA,2025-09-18,88,2025-09-19,103482,103948,88
20,AA-001-DT,2025-02-12,18,2025-02-13,78898,79179,18
79,AA-001-DW,2025-02-12,18,2025-02-15,25260,26040,18
57,AA-001-DU,2025-05-24,75,2025-05-25,81912,82734,73
22,AA-001-BE,2025-06-10,117,2025-06-11,98617,99354,117
42,AA-001-DM,2025-05-22,90,2025-05-23,17988,18435,90
40,AA-001-DM,2025-05-22,90,2025-05-23,113689,114480,90
106,AA-001-DM,2025-05-22,90,2025-05-23,23002,23276,90
62,AA-001-CN,2025-05-18,15,2025-05-20,177108,177694,15
31,AA-001-AH,2025-05-18,15,2025-05-20,166484,167343,15
117,AA-001-CP,2025-05-18,15,2025-05-22,62178,62899,15
78,AA-001-CM,2025-05-21,112,2025-05-24,9369,10005,114
47,AA-001-CR,2025-09-17,4,2025-09-18,78944,79295,4
58,AA-001-DL,2025-01-08,5,2025-01-09,35914,36333,5
15,AA-001-AK,2025-01-12,56,2025-01-14,107105,107813,56
32,AA-001-CF,2025-07-30,91,2025-07-31,141817,142091,91
71,AA-001-DI,2025-07-30,91,2025-07-31,118476,118760,91
9,AA-001-DG,2025-08-21,143,2025-08-23,77599,78388,143
107,AA-001-CA,2025-09-07,90,2025-09-11,116035,116275,89
96,AA-001-BD,2025-09-07,90,2025-09-09,134959,135283,89
23,AA-001-DM,2025-06-15,70,2025-06-19,54294,55066,71
117,AA-001-DL,2025-03-10,14,2025-03-11,179674,180521,14
87,AA-001-DL,2025-07-10,31,2025-07-11,23618,24175,32
85,AA-001-DL,2025-07-10,31,2025-07-11,76063,76924,32
6,AA-001-DL,2025-07-10,31,2025-07-12,79683,79786,32
34,AA-001-BM,2025-07-20,74,2025-07-21,57289,57776,73
75,AA-001-DL,2025-06-28,114,2025-06-30,170646,171174,114
34,AA-001-CW,2025-07-04,73,2025-07-06,41262,41561,73
14,AA-001-BC,2025-07-04,73,2025-07-06,118654,119495,73
85,AA-001-AA,2025-08-09,33,2025-08-10,149335,149744,33
33,AA-001-AB,2025-08-09,33,2025-08-12,155379,155786,33
108,AA-001-DL,2025-04-18,9,2025-04-19,35008,35568,7
77,AA-001-DL,2025-04-18,9,2025-04-19,163095,163983,7
16,AA-001-CN,2025-06-26,124,2025-07-02,59285,59361,126
100,AA-001-AP,2025-06-26,124,2025-06-29,135225,136032,126
89,AA-001-DT,2025-03-06,52,2025-03-11,148152,148457,52
113,AA-001-BR,2025-05-04,143,2025-05-10,176111,176229,143
69,AA-001-AB,2025-05-04,143,2025-05-07,11466,11919,143
33,AA-001-DL,2025-06-14,32,2025-06-15,53264,53886,31
85,AA-001-DL,2025-06-14,32,2025-06-16,75169,75515,31
87,AA-001-DL,2025-06-14,32,2025-06-16,159023,159918,31
47,AA-001-CR,2025-05-13,4,2025-05-14,104562,104730,4
106,AA-001-DM,2025-07-08,89,2025-07-10,107753,108459,89
12,AA-001-DM,2025-07-08,89,2025-07-10,139748,140289,89
70,AA-001-AC,2025-05-21,7,2025-05-24,173708,174336,7
94,AA-001-DO,2025-05-21,7,2025-05-23,116328,117070,7
79,AA-001-DM,2025-07-04,16,2025-07-06,7890,8629,16
20,AA-001-DM,2025-07-04,16,2025-07-06,32034,32720,16
25,AA-001-BN,2025-09-02,4,2025-09-04,13463,13952,5
58,AA-001-AG,2025-09-02,4,2025-09-03,78369,78519,5
28,AA-001-CY,2025-09-02,4,2025-09-04,75224,75393,5
54,AA-001-DV,2025-06-26,25,2025-06-29,82406,82891,25
54,AA-001-BP,2025-05-31,26,2025-06-02,169415,170050,26
68,AA-001-CU,2025-07-21,75,2025-07-22,113665,114230,75
51,AA-001-CI,2025-07-21,75,2025-07-22,134884,135009,75
66,AA-001-DQ,2025-07-02,107,2025-07-03,64099,64680,107
60,AA-001-CH,2025-07-02,107,2025-07-03,151977,152689,107
83,AA-001-DH,2025-07-02,107,2025-07-03,139483,139980,107
62,AA-001-CW,2025-08-02,15,2025-08-07,166584,166786,13
31,AA-001-CX,2025-08-02,15,2025-08-06,145343,145652,13
117,AA-001-CB,2025-08-02,15,2025-08-07,138560,139389,13
7,AA-001-CR,2025-04-13,64,2025-04-18,69658,69927,64
54,AA-001-DS,2025-05-05,26,2025-05-10,154223,154798,26
1,AA-001-CU,2025-02-05,122,2025-02-08,68543,69379,123
62,AA-001-CR,2025-05-14,14,2025-05-16,81112,81611,13
119,AA-001-CR,2025-07-01,77,2025-07-02,16242,16454,77
43,AA-001-CR,2025-07-01,77,2025-07-05,173738,174116,77
10,AA-001-CR,2025-07-01,77,2025-07-02,31768,32130,77
9,AA-001-DL,2025-03-30,142,2025-03-31,77204,77852,142
101,AA-001-DL,2025-03-30,142,2025-03-31,59009,59669,142
53,AA-001-DI,2025-07-16,52,2025-07-17,72955,73478,54
2,AA-001-CF,2025-07-16,52,2025-07-17,87793,88123,54
109,AA-001-DM,2025-02-25,136,2025-02-27,118683,119058,136
29,AA-001-DM,2025-02-25,136,2025-02-26,87377,88227,136
92,AA-001-DM,2025-02-25,136,2025-02-27,141981,142724,136
119,AA-001-AQ,2025-02-10,76,2025-02-13,9919,10702,76
10,AA-001-CO,2025-02-10,76,2025-02-13,47280,47502,76
61,AA-001-AV,2025-02-10,76,2025-02-11,96114,96395,76
102,AA-001-AO,2025-07-29,81,2025-08-02,175080,175213,80
37,AA-001-AM,2025-07-29,81,2025-07-30,118032,118146,80
14,AA-001-CA,2025-08-01,74,2025-08-03,157409,157967,74
34,AA-001-BZ,2025-08-01,74,2025-08-03,100625,100751,74
33,AA-001-DB,2025-01-16,32,2025-01-17,67246,67990,32
16,AA-001-CV,2025-03-26,124,2025-04-01,121259,121441,124
55,AA-001-BU,2025-07-19,11,2025-07-22,173896,174397,11
91,AA-001-BW,2025-07-19,11,2025-07-22,66357,66984,11
15,AA-001-BV,2025-09-19,56,2025-09-21,25073,25542,56
104,AA-001-DV,2025-04-23,108,2025-04-26,142141,142825,107
84,AA-001-DS,2025-04-23,108,2025-04-26,134672,134775,107
59,AA-001-DV,2025-04-23,108,2025-04-25,107705,108029,107
41,AA-001-DS,2025-08-09,121,2025-08-10,18918,19220,123
13,AA-001-DV,2025-08-09,121,2025-08-10,52659,52884,123
65,AA-001-DS,2025-08-09,121,2025-08-10,175988,176490,123
68,AA-001-CU,2025-09-11,73,2025-09-17,65951,66459,73
52,AA-001-DM,2025-01-30,89,2025-02-01,119500,119724,89
96,AA-001-DM,2025-01-30,89,2025-02-01,79584,79701,89
93,AA-001-DL,2025-03-22,8,2025-03-23,3186,3346,8
90,AA-001-CO,2025-06-23,126,2025-06-26,134158,134449,126
8,AA-001-AA,2025-01-15,52,2025-01-16,40371,40873,52
118,AA-001-CT,2025-01-15,52,2025-01-16,62814,63388,52
89,AA-001-DG,2025-01-15,52,2025-01-16,103544,104423,52
33,AA-001-DL,2025-06-02,33,2025-06-05,54796,55585,33
113,AA-001-CR,2025-07-21,142,2025-07-22,38484,39360,142
69,AA-001-CR,2025-07-21,142,2025-07-23,8995,9392,142
120,AA-001-CR,2025-07-21,142,2025-07-24,172307,173031,142
34,AA-001-AJ,2025-09-28,73,2025-10-01,165564,165935,74
57,AA-001-BO,2025-05-15,75,2025-05-17,132907,133390,75
43,AA-001-AO,2025-01-21,76,2025-01-22,127857,128573,76
119,AA-001-AK,2025-01-21,76,2025-01-22,98846,99553,76
66,AA-001-DM,2025-02-28,106,2025-03-02,17755,18016,108
14,AA-001-DS,2025-03-02,74,2025-03-05,52602,52840,74
48,AA-001-CR,2025-01-23,94,2025-01-27,132566,132882,94
114,AA-001-CR,2025-01-23,94,2025-01-26,172437,173168,94
20,AA-001-DS,2025-03-31,18,2025-04-01,63673,63759,18
7,AA-001-DM,2025-09-16,66,2025-09-17,169690,169968,66
113,AA-001-CR,2025-07-05,142,2025-07-07,72519,73135,143
69,AA-001-CR,2025-07-05,142,2025-07-07,177328,177766,143
101,AA-001-DS,2025-08-18,142,2025-08-20,63441,63634,142
9,AA-001-DV,2025-08-18,142,2025-08-23,90121,90441,142
50,AA-001-AG,2025-06-19,8,2025-06-20,27695,28187,8
51,AA-001-CR,2025-09-11,75,2025-09-13,158437,158879,73
98,AA-001-DV,2025-03-16,117,2025-03-17,46246,46881,117
22,AA-001-DS,2025-03-16,117,2025-03-20,32568,33194,117
94,AA-001-CQ,2025-04-16,8,2025-04-20,161147,161418,8
70,AA-001-BT,2025-04-16,8,2025-04-17,148221,148809,8
50,AA-001-BV,2025-04-16,8,2025-04-20,172199,172736,8
54,AA-001-DS,2025-05-01,26,2025-05-02,158419,159267,27
55,AA-001-DG,2025-02-14,10,2025-02-16,114942,115117,11
100,AA-001-DS,2025-02-14,125,2025-02-17,99796,100262,125
16,AA-001-DV,2025-02-14,125,2025-02-17,74858,75623,125
103,AA-001-CR,2025-01-22,135,2025-01-27,56155,56502,135
108,AA-001-CR,2025-04-04,7,2025-04-07,157531,157634,7
93,AA-001-CR,2025-04-04,7,2025-04-07,151981,152227,7
92,AA-001-CB,2025-03-07,138,2025-03-13,108302,108363,138
3,AA-001-BL,2025-05-03,122,2025-05-05,43270,43362,121
93,AA-001-DV,2025-05-23,8,2025-05-26,165042,165711,7
77,AA-001-DS,2025-05-23,8,2025-05-27,122809,122887,7
75,AA-001-CJ,2025-07-08,112,2025-07-09,37648,38238,113
99,AA-001-AE,2025-07-08,112,2025-07-10,4672,5102,113
78,AA-001-CI,2025-07-08,112,2025-07-09,110780,111059,113
1,AA-001-DL,2025-08-06,122,2025-08-07,26187,26312,123
16,AA-001-CR,2025-05-11,125,2025-05-16,97702,98208,125
100,AA-001-CR,2025-05-11,125,2025-05-13,84145,84366,125
90,AA-001-CR,2025-05-11,125,2025-05-16,56075,56738,125
15,AA-001-DU,2025-04-13,55,2025-04-14,29720,30382,55
7,AA-001-DL,2025-08-25,66,2025-08-26,53729,54095,66
107,AA-001-DV,2025-08-17,89,2025-08-18,53338,53812,89
96,AA-001-DS,2025-08-17,89,2025-08-18,174534,174649,89
98,AA-001-DM,2025-09-19,116,2025-09-20,136547,136980,116
108,AA-001-BE,2025-04-06,7,2025-04-08,12364,12482,7
77,AA-001-BM,2025-04-06,7,2025-04-08,41469,41814,7
49,AA-001-AT,2025-04-06,7,2025-04-11,106218,106879,7
63,AA-001-DG,2025-09-01,78,2025-09-04,79974,80183,78
5,AA-001-DP,2025-09-01,78,2025-09-04,177715,178070,78
86,AA-001-BR,2025-09-01,78,2025-09-03,64449,64610,78
113,AA-001-BR,2025-03-27,142,2025-03-28,66743,67330,142
102,AA-001-AF,2025-02-04,81,2025-02-05,95559,95865,81
105,AA-001-AR,2025-02-04,81,2025-02-05,53960,54742,81
32,AA-001-DM,2025-05-07,93,2025-05-09,34989,35618,93
71,AA-001-DM,2025-05-07,93,2025-05-10,21578,21879,93
9,AA-001-BH,2025-06-03,142,2025-06-05,86650,87397,142
101,AA-001-CO,2025-06-03,142,2025-06-04,138041,138711,142
55,AA-001-DT,2025-07-14,10,2025-07-17,31163,31339,12
91,AA-001-AB,2025-07-14,10,2025-07-18,141488,141563,12
23,AA-001-CR,2025-09-26,72,2025-09-30,7489,7721,72
74,AA-001-CR,2025-09-26,72,2025-09-30,169716,170518,72
97,AA-001-CR,2025-09-26,72,2025-09-28,104806,105078,72
31,AA-001-AI,2025-04-22,13,2025-04-25,32266,32352,13
117,AA-001-BZ,2025-04-22,13,2025-04-23,172181,172402,13
35,AA-001-DV,2025-07-31,79,2025-08-02,141268,141499,81
85,AA-001-BC,2025-01-18,32,2025-01-19,87665,87748,32
87,AA-001-CG,2025-01-18,32,2025-01-19,69877,70210,32
33,AA-001-DK,2025-01-18,32,2025-01-19,19252,19487,32
109,AA-001-DS,2025-01-29,137,2025-02-02,93868,94622,138
92,AA-001-DV,2025-01-29,137,2025-01-31,113618,113703,138
29,AA-001-DS,2025-01-29,137,2025-02-02,69601,70449,138
109,AA-001-BH,2025-06-19,138,2025-06-21,63238,64006,138
81,AA-001-BB,2025-01-06,141,2025-01-07,88429,88772,141
52,AA-001-DM,2025-02-12,89,2025-02-13,16790,17314,89
52,AA-001-DG,2025-08-06,90,2025-08-08,93481,93957,89
107,AA-001-DT,2025-08-06,90,2025-08-09,82685,83562,89
79,AA-001-BT,2025-08-06,16,2025-08-08,84216,84742,16
20,AA-001-CV,2025-08-06,16,2025-08-11,70853,70941,16
50,AA-001-AK,2025-05-03,8,2025-05-05,66439,67192,8
94,AA-001-CU,2025-05-03,8,2025-05-06,134119,134493,8
53,AA-001-AT,2025-09-23,53,2025-09-26,123332,123502,53
116,AA-001-BL,2025-09-23,53,2025-09-26,159232,160045,53
27,AA-001-DM,2025-07-29,71,2025-08-02,68257,69005,71
74,AA-001-DM,2025-07-29,71,2025-07-30,175303,175846,71
74,AA-001-DP,2025-09-15,71,2025-09-16,74019,74796,71
27,AA-001-DG,2025-09-15,71,2025-09-16,175841,176653,71
23,AA-001-DA,2025-09-15,71,2025-09-16,162619,163269,71
85,AA-001-DL,2025-08-15,31,2025-08-16,16922,17437,31
101,AA-001-AB,2025-01-06,144,2025-01-07,14317,14378,142
9,AA-001-BS,2025-01-06,144,2025-01-07,59136,59360,142
28,AA-001-CT,2025-02-04,4,2025-02-08,19417,19565,4
25,AA-001-DP,2025-02-04,4,2025-02-05,129574,130214,4
90,AA-001-DM,2025-08-24,125,2025-08-25,127759,128492,125
21,AA-001-DC,2025-07-12,14,2025-07-13,147247,148081,13
110,AA-001-CE,2025-07-12,14,2025-07-13,92594,93108,13
57,AA-001-AQ,2025-02-02,75,2025-02-05,107947,108371,75
34,AA-001-CQ,2025-02-02,75,2025-02-08,151762,151941,75
6,AA-001-CR,2025-03-06,31,2025-03-09,157868,158225,31
110,AA-001-DS,2025-02-14,13,2025-02-16,130262,130521,15
21,AA-001-DV,2025-02-14,13,2025-02-18,98740,99515,15
101,AA-001-CR,2025-09-15,144,2025-09-19,51105,51579,143
9,AA-001-CR,2025-09-15,144,2025-09-17,164972,165675,143
1,AA-001-CJ,2025-03-31,122,2025-04-02,65467,65864,121
48,AA-001-DP,2025-03-16,96,2025-03-18,78480,79194,96
46,AA-001-CT,2025-03-16,96,2025-03-18,23599,24475,96
